OrganizationName,disagreement_rows,median_r3_score,accurate_call_rate
COLUMBIA UNIVERSITY IRVING MEDICAL CENTER,122,0.0,0.6311475409836066
HUDSON IPA,39,40.0,0.7948717948717948
ALMA COMMUNITYNETWORK,28,0.0,0.0
UNITED HEALTH SERVICES / UNITED MEDICAL ASSOCIATES,25,0.0,0.96
NYU FACULTY GROUP PRACTICE,20,58.8122605363984,0.7
SUMMIT HEALTH,19,82.2222222222222,0.05263157894736842
HENRY FORD INTERNAL MEDICINE GROUP,16,95.32342657342654,0.25
UNIVERSITY OF ALABAMA HEALTH S,13,3.92156862745098,0.6923076923076923
UNIVERSITY MEDICAL ASSOCIATES OF SYRACUSE,12,55.0,0.5833333333333334
ATLANTIC MEDICAL GROUP,9,81.8181818181818,0.0
HMFP AT BIDMC,9,50.0,0.2222222222222222
RUTGERS HEALTH - RWJ SCLERODERMA PROGRAM,8,89.75,0.25
EHAB YACOUB MD INC,8,0.0,0.375
USA HEALTH PHYSICIAN BILLING S,7,97.0,0.2857142857142857
NEIGHBORHOOD OUTREACH ACCESS TO HEALTH,7,5.0,1.0
MINDFULLY LLC,7,0.0,0.14285714285714285
HENRY FORD HEALTH SYSTEM,6,68.76006441223825,0.3333333333333333
SUN RIVER HEALTH,6,21.66666666666665,0.5
MASS GENERAL MEDICAL GROUP SUBURBAN MASSACHUSETTS INC,6,3.5562310030395103,0.6666666666666666
PREFERRED FAMILYHEALTHCARE INC,6,-1.0,1.0
COREWELL HEALTH EAST MEDICAL GROUP SPECIALTY SERVICES,5,97.0,0.0
CLINICAL HEALTH CARE ASSOCIATES OF NEW JERSEY PC,5,80.7692307692307,0.4
CARDIOLOGY ASSOCIATES OF MOBILE INC,5,79.1666666666666,0.4
CHILDRENS SPECIALIZED HOSPITAL,5,78.2608695652173,0.4
HMHMG SPECIALTY CARE,5,78.2608695652173,0.2
PROMEDICA NORTHWEST OHIO CARDIOLOGY CONSULTANTS LLC,5,75.6097560975609,0.4
ALLIED PACIFIC OF CALIFORNIA IPA,5,55.5555555555555,0.6
THRIVE COUNSELING LLC,5,55.0,0.4
UNIVERSITY PROFESSIONAL SVCS_1376709535,5,42.8571428571428,0.6
AEGIS TREATMENT CENTERS LLC,5,37.5,0.8
