Specialty,rows,disagreement_rate
SURGERY PHYSICIAN (208600000X),18,1.0
CLINICAL PSYCHOLOGIST (103TC0700X),12,1.0
GASTROENTEROLOGY PHYSICIAN (207RG0100X),12,1.0
CRITICAL CARE MEDICINE (INTERNAL MEDICINE) PHYSICIAN (207RC0200X),10,1.0
PEDIATRICS PHYSICIAN (208000000X),45,0.9777777777777777
OBSTETRICS & GYNECOLOGY PHYSICIAN (207V00000X),35,0.9714285714285714
CARDIOVASCULAR DISEASE PHYSICIAN (207RC0000X),33,0.9696969696969697
INTERNAL MEDICINE PHYSICIAN (207R00000X),69,0.9565217391304348
NEPHROLOGY PHYSICIAN (207RN0300X),16,0.9375
CLINICAL SOCIAL WORKER (1041C0700X),31,0.8709677419354839
DIAGNOSTIC RADIOLOGY,29,0.7586206896551724
"ALLOPATHIC & OSTEOPATHIC PHYSICIANS, PSYCHIATRY & NEUROLOGY, CHILD & ADOLESCENT PSYCHIATRY",12,0.75
"BEHAVIORAL HEALTH & SOCIAL SERVICE PROVIDERS, PSYCHOLOGIST",17,0.7058823529411765
"BEHAVIORAL HEALTH & SOCIAL SERVICE PROVIDERS, COUNSELOR, PROFESSIONAL",66,0.696969696969697
"BEHAVIORAL HEALTH & SOCIAL SERVICE PROVIDERS, MARRIAGE & FAMILY THERAPIST",26,0.6923076923076923
"BEHAVIORAL HEALTH & SOCIAL SERVICE PROVIDERS, COUNSELOR, MENTAL HEALTH",43,0.6511627906976745
"BEHAVIORAL HEALTH & SOCIAL SERVICE PROVIDERS, BEHAVIOR ANALYST",31,0.6451612903225806
NP - FAMILY HEALTH,23,0.6086956521739131
"BEHAVIORAL HEALTH & SOCIAL SERVICE PROVIDERS, SOCIAL WORKER, CLINICAL",99,0.5858585858585859
"BEHAVIORAL HEALTH & SOCIAL SERVICE PROVIDERS, PSYCHOLOGIST, CLINICAL",26,0.5384615384615384
"BEHAVIORAL HEALTH & SOCIAL SERVICE PROVIDERS, SOCIAL WORKER",13,0.5384615384615384
"PHYSICIAN ASSISTANTS & ADVANCED PRACTICE NURSING PROVIDERS, NURSE PRACTITIONER, PSYCHIATRIC/MENTAL HEALTH",77,0.5194805194805194
"PHYSICIAN ASSISTANTS & ADVANCED PRACTICE NURSING PROVIDERS, PHYSICIAN ASSISTANT",10,0.5
SOCIAL WORKER - CLINICAL,34,0.47058823529411764
NURSE PRACTITIONER-ADULT HEALTH,15,0.4666666666666667
CLINICAL NEUROPSYCHOLOGY,52,0.46153846153846156
"ALLOPATHIC & OSTEOPATHIC PHYSICIANS, PSYCHIATRY & NEUROLOGY, PSYCHIATRY",70,0.45714285714285713
INTERVENTIONAL CARDIOLOGY,22,0.45454545454545453
SURGERY,25,0.44
PSYCHOLOGY,19,0.42105263157894735
INTERNAL MEDICINE,103,0.4077669902912621
OCCUPATIONAL THERAPIST,10,0.4
NURSE PRACTITIONER - FAMILY,43,0.3953488372093023
SURGERY - TRANSPLANT SURGERY,28,0.39285714285714285
DERMATOLOGY,53,0.37735849056603776
ANESTHESIOLOGY,38,0.3684210526315789
OPHTHALMOLOGY,11,0.36363636363636365
CARDIAC ELECTROPHYSIOLOGY,14,0.35714285714285715
UROLOGY,17,0.35294117647058826
CERTIFIED REGISTERED NURSE ANESTHETIST,44,0.3409090909090909
EMERGENCY MEDICINE,59,0.3389830508474576
NURSE PRACTITIONER,30,0.3333333333333333
OBGYN - OBSTETRICS AND GYNECOLOGY,21,0.3333333333333333
OTOLARYNGOLOGY,12,0.3333333333333333
ORTHOPAEDIC SURGERY,22,0.3181818181818182
NEUROLOGY,10,0.3
OBSTETRICS & GYNECOLOGY,57,0.2982456140350877
PHYSICIAN ASSISTANT,117,0.2905982905982906
PHYSICAL THERAPIST,72,0.2777777777777778
FAMILY MEDICINE,151,0.271523178807947
GASTROENTEROLOGY,26,0.2692307692307692
PEDIATRICS,88,0.23863636363636365
NP - ADULT HEALTH,11,0.18181818181818182
NEPHROLOGY,10,0.1
OBGYN - MATERNAL-FETAL MEDICINE,10,0.1
NP - PEDIATRICS,13,0.07692307692307693
CARDIOVASCULAR DISEASE,15,0.06666666666666667
SURGERY - VASCULAR SURGERY,24,0.041666666666666664
