state,test_rows,baseline_accuracy,corrected_accuracy,delta,flips,agreement_zone_violations,q_hat,below_floor
AL,114,0.06140350877192982,0.37719298245614036,0.3157894736842105,36,0,0.8010291595197255,True
MI,231,0.22077922077922077,0.4025974025974026,0.18181818181818185,42,0,0.7968197879858657,True
NJ,176,0.2784090909090909,0.4147727272727273,0.1363636363636364,24,0,0.798598949211909,True
IL,44,0.45454545454545453,0.45454545454545453,0.0,0,0,0.8048780487804879,True
CA,104,0.4423076923076923,0.47115384615384615,0.028846153846153855,3,0,0.8,True
MA,54,0.48148148148148145,0.48148148148148145,0.0,1,0,0.8027681660899654,True
CO,27,0.48148148148148145,0.48148148148148145,0.0,0,0,0.8010291595197255,True
CT,65,0.5076923076923077,0.5076923076923077,0.0,0,0,0.7996515679442509,True
PA,27,0.5185185185185185,0.5185185185185185,0.0,0,0,0.8010291595197255,True
TX,109,0.5321100917431193,0.5321100917431193,0.0,1,0,0.8010657193605684,False
FL,59,0.5932203389830508,0.5932203389830508,0.0,0,0,0.8017391304347826,False
ID,65,0.6,0.6,0.0,0,0,0.7960992907801419,False
MS,50,0.6,0.6,0.0,0,0,0.802841918294849,False
AZ,59,0.6101694915254238,0.6101694915254238,0.0,0,0,0.8,False
NV,36,0.5833333333333334,0.6111111111111112,0.02777777777777779,1,0,0.8024691358024691,False
NY,681,0.5947136563876652,0.618208516886931,0.023494860499265857,18,0,0.8469055374592833,False
OH,86,0.6162790697674418,0.627906976744186,0.011627906976744207,1,0,0.7992831541218638,False
KY,60,0.7,0.7,0.0,0,0,0.797153024911032,False
WA,53,0.6981132075471698,0.7169811320754716,0.018867924528301883,1,0,0.7975567190226875,False
IA,40,0.675,0.725,0.04999999999999993,2,0,0.8017543859649123,False
UT,52,0.7307692307692307,0.7307692307692307,0.0,0,0,0.7978723404255319,False
NC,35,0.7428571428571429,0.7714285714285715,0.02857142857142858,1,0,0.798951048951049,False
WI,53,0.8113207547169812,0.8113207547169812,0.0,0,0,0.8035087719298246,False
NE,47,0.8297872340425532,0.851063829787234,0.021276595744680882,1,0,0.7935943060498221,False
